id,followers,genres,name,popularity
1AL2GKpmRrKXkYIcASuRFa,9406176.0,forro,Wesley Safadão,82
1Xylc3o4UrD53lo9CvFvVg,8648195.0,dance pop edm electropop pop pop dance postteen pop scandipop swedish electropop swedish pop tropical house,Zara Larsson,82
3DiDSECUqqY1AuBP8qtaIa,8565325.0,hip pop neo soul pop rb urban contemporary,Alicia Keys,82
51Blml2LZPmy7TTiAg47vQ,8157894.0,irish rock permanent wave rock,U2,82
1Hsdzj7Dlq2I7tHP7501T4,7110203.0,dance pop pop postteen pop,Niall Horan,82
6icQOAFXDZKsumw3YXyusw,7091897.0,atl hip hop hip hop melodic rap rap southern hip hop trap underground hip hop viral rap,Lil Yachty,82
3AA28KZvwAUcZuOKwyblJQ,6813797.0,alternative hip hop,Gorillaz,82
0oSGxfWSnnOXhD2fKuz2Gy,6753696.0,art rock classic rock glam rock permanent wave rock,David Bowie,82
738wLrAtLtCtFOLvQBXOXp,6182686.0,dance pop edm electro house moombahton pop pop dance pop rap tropical house,Major Lazer,82
1l7ZsJRRS8wlW3WfJfPfNS,6040252.0,dance pop pop pop rap postteen pop,Christina Aguilera,82
21E3waRsmPlU7jZsS13rcj,6005768.0,dance pop pop pop rap rb urban contemporary,Ne-Yo,82
0QHgL1lAIqAw0HtD7YldmP,5948955.0,dance pop hip hop miami hip hop pop pop rap rap southern hip hop trap,DJ Khaled,82
1cNDP5yjU5vjeR8qMf4grg,5842366.0,melodic rap trap,YNW Melly,82
6DPYiyq5kWVQS4RGwxzPC7,5573285.0,g funk gangster rap hip hop rap west coast rap,Dr. Dre,82
6w9ToX5slZ4uIdmD17hJ3c,4796022.0,latin reggaeton reggaeton flow trap latino tropical,Bryant Myers,82
2FXC3k01G6Gw61bmprjgqS,4602616.0,irish singersongwriter modern rock pop,Hozier,82
6Te49r3A6f5BiIgBRxH7FH,4343883.0,french hip hop pop urbaine,Ninho,82
1gPhS1zisyXr5dHTYZyiMe,4100694.0,baton rouge rap rap southern hip hop trap,Kevin Gates,82
1z7b1Pr1rSlvWRzsW3HOrS,3963793.0,hawaiian hip hop pop rap rap,Russ,82
1bAftSH8umNcGZ0uyV7LMg,3960273.0,argentine hip hop trap argentino trap latino trap triste,Duki,82
3IW7ScrzXmPvZhB27hmfgy,3730702.0,francoton rap marseille,Jul,82
0ZED1XzwlLHW4ZaG4lOT6m,3721982.0,alt z dance pop electropop pop postteen pop,Julia Michaels,82
1Ffb6ejR6Fe5IamqA5oRUF,3699030.0,melodic metalcore metalcore rock uk metalcore,Bring Me The Horizon,82
4Ga1P7PMIsmqEZqhYZQgDo,3555694.0,melodic rap rap trap,Lil Tecca,82
2RdwBSPQiwcmiDo9kixcl8,3511514.0,pop rap,Pharrell Williams,82
360IAlyVv4PCEVjgyMZrxK,3367080.0,dance pop hip hop pop rb urban contemporary,Miguel,82
3aQeKQSyrW4qWr35idm0cy,3209591.0,dance pop hip hop pop pop rap rb rap southern hip hop urban contemporary,T-Pain,82
4m6ubhNsdwF4psNf3R8kwR,2862663.0,argentine hip hop trap argentino trap latino trap triste,KHEA,82
