id,name,artists,id_artists,genres,release_year,duration_s,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
7MoZgM6AsQaZw14WnKopuy,Miedito o Qué? (feat. KAROL G),"Ovy On The Drums, Danny Ocean, KAROL G","['3m5qlPf2OkihLz3dRYnkPA', '5H1nN1SzW0qNeUEZvuXjAj', '790FomKkXshlbRYZFtlgla']",colombian pop latin latin pop reggaeton reggaeton colombiano latin reggaeton reggaeton colombiano trap latino latin latin pop pop venezolano reggaeton trap latino tropical,2020,209.905,80,0.851,0.776,6,56.746,1,0.0561,0.12,0.0,0.1,0.804,95.995
5psEZhQu6lukjhavJo4AbC,SO DONE,The Kid LAROI,['2tIP7SsRs7vjIcLrU85W8J'],australian hip hop,2020,126.521,80,0.719,0.598,9,53.746,1,0.077,0.232,0.0,0.115,0.303,142.592
7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,['3QJUFtGBGL05vo0kCJZsmT'],alt z modern indie pop social media pop,2020,136.839,80,0.738,0.621,0,52.687,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968
3jT2LKH0RSbQ8jIUNFzXm5,PTSD,"G Herbo, Juice WRLD, Lil Uzi Vert, Chance the Rapper","['5QdEbQJ3ylBnc3gsIASAT5', '4MCBfE4596Uoi2O4DtmEMz', '4O15NlyKLIASxsJ0PrXPfz', '1anyVhU62p31KFi8MEzkbf']",chicago rap melodic rap chicago rap conscious hip hop hip hop pop rap rap chicago drill chicago rap drill rap southern hip hop trap vapor trap melodic rap philly rap rap trap,2020,232.065,80,0.883,0.808,1,56.842,0,0.183,0.0317,0.0,0.207,0.805,119.012
1hGy2eLcmC8eKx7qr1tOqx,Beautiful Girls,Sean Kingston,['6S0dmVVn4udvppDhZIWxCr'],dance pop miami hip hop pop postteen pop urban contemporary,2007,225.373,80,0.762,0.661,1,53.925,0,0.0687,0.15,0.0,0.256,0.769,130.009
2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),"Polo G, Juice WRLD","['6AgTAQt8XS6jRWi4sX7w49', '4MCBfE4596Uoi2O4DtmEMz']",chicago rap melodic rap chicago rap,2020,163.90200000000002,80,0.752,0.673,10,54.208,0,0.153,0.0538,0.0,0.133,0.35,164.009
7ju97lgwC2rKQ6wwsf9no9,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande","['1HY2Jd0NmPuamShAr6KMms', '66CXWjxzNUsdJxJ2JdwvnR']",pop postteen pop dance pop pop postteen pop,2020,182.2,80,0.672,0.855,9,56.236,1,0.0397,0.021,0.0,0.323,0.646,123.056
7EUvcSFkyVB73zrblhQmEL,Bonita,Jeeiph,['6ZtLRqHEkAXPWVw0eRbDac'],trap venezolano,2020,187.429,80,0.762,0.645,0,54.578,1,0.272,0.241,1.26e-05,0.118,0.64,180.125
0zzVTGyRrWpQu8Fr28NRAv,OK Not To Be OK,"Marshmello, Demi Lovato","['64KEffDW9EtZ1y2vBYgq8T', '6S2OmqARrzebs0tKUEyXyp']",dance pop pop postteen pop brostep edm pop pop dance progressive electro house,2020,159.863,80,0.743,0.837,1,54.975,0,0.0649,0.0172,0.0,0.0743,0.263,103.072
2TIlqbIneP0ZY1O0EzYLlc,Someone You Loved,Lewis Capaldi,['4GNC7GD6oZMSxPGyXy4MNB'],pop uk pop,2018,182.161,80,0.501,0.405,1,54.321,1,0.0319,0.751,0.0,0.105,0.446,109.891
